Latency Report (https://github.com/mkramlich/latlearn)

latlearn_should_subtract_overhead: true
metric treated as overhead: LL.no-op, min
since LL init: 21,473,942,907 ns

Go ver:         go1.20.4
GOARCH:         amd64
GOOS:           darwin
NumCPU:         4
GOMAXPROCS:     4
NumGoroutine:   3
SetMemoryLimit: 9,223,372,036,854,775,807 bytes
GOGC:           
LINES:          23
COLUMNS:        89
HOST:           
TERM:           xterm-256color

cur6.4.20221231, vlc str 3.0.11 , play       21 s, tock    318    
anim    318    , getchar 58   ms, alive   T      , invuln  T      
av yx    31,133, world    80,345, screen   24, 90, devmode F      
logging F      , latrept T      , pprof   F      , sound   T      
dvbuild T      , devtest T      , demoldd T      , demowev F      
demoslp F      , demoses F      , demoswp F      , demorbm F      
demoogr F      , playtes F      , advergm F      , demovid T      
hum qty 545    , humaqty 285    

span                 :        min (ns) |       last (ns) |        max (ns) |       mean (ns) | weight (B&As) |   time frac | span                 
loop                 :       5,040,217 |      73,449,278 |     202,730,723 |      66,591,034 | w         317 | tf 0.983023 | loop                 
rend                 :         876,448 |       2,847,198 |      29,348,530 |       2,991,491 | w         318 | tf 0.044301 | rend                 
draw-arena           :         409,609 |       2,233,477 |       5,173,587 |       1,596,105 | w         318 | tf 0.023637 | draw-arena           
PM-gc-refup          :          52,564 |         312,967 |      27,705,720 |       1,123,623 | w         318 | tf 0.016640 | PM-gc-refup          
PM.handle_input      :         185,218 |      63,673,871 |      68,300,364 |      40,685,755 | w         318 | tf 0.602502 | PM.handle_input      
get-char             :         179,121 |      63,664,075 |      68,291,479 |      40,641,347 | w         318 | tf 0.601844 | get-char             
tick                 :         595,107 |       5,111,136 |     133,714,435 |      19,804,324 | w         318 | tf 0.293276 | tick                 
play-sound           :           3,496 |       3,378,832 |      35,795,912 |       4,182,182 | w         836 | tf 0.162819 | play-sound           
PM.play-sound        :           3,932 |       3,380,398 |      35,797,493 |       4,213,603 | w         792 | tf 0.155409 | PM.play-sound        
laz                  :           1,217 |         100,168 |      38,636,025 |         638,030 | w         318 | tf 0.009450 | laz                  
mms                  :           1,105 |           7,287 |          24,346 |           3,685 | w         318 | tf 0.000056 | mms                  
hms                  :          26,460 |       1,223,934 |      11,432,818 |       1,505,819 | w         318 | tf 0.022300 | hms                  
tms                  :             134 |           1,716 |         317,246 |          14,711 | w         318 | tf 0.000219 | tms                  
tank-tick            :             261 |           2,855 |     107,922,166 |      15,144,023 | w         318 | tf 0.224264 | tank-tick            
ogre-tick            :         294,919 |       1,827,054 |     110,209,709 |      16,230,454 | w         318 | tf 0.240352 | ogre-tick            
zh-tick              :          96,996 |         314,202 |       6,019,319 |         414,980 | w         286 | tf 0.005528 | zh-tick              
nh                   :         120,309 |       1,045,641 |       9,011,686 |         621,287 | w         730 | tf 0.021123 | nh                   
nh-pov-si            :         119,490 |       1,691,953 |      29,219,100 |       1,203,363 | w       1,846 | tf 0.103453 | nh-pov-si            
zmh                  :          14,169 |         331,641 |       4,063,894 |         222,468 | w         318 | tf 0.003296 | zmh                  
hmove                :          55,671 |         437,880 |      12,761,241 |         247,328 | w         318 | tf 0.003664 | hmove                
boltf                :             720 |         130,679 |       3,899,325 |         141,306 | w         318 | tf 0.002094 | boltf                
boltd                :             455 |          10,735 |         328,047 |           8,238 | w         318 | tf 0.000123 | boltd                
is-mv-bl             :               4 |             408 |       2,604,112 |             549 | w      19,624 | tf 0.000573 | is-mv-bl             
